ID, Font, Prediction, Actual, Confidence, Pass/Fail
110, DancingScript-Bold, 5, 5, 0.954, PASS
111, DancingScript-Bold, 6, 6, 1.000, PASS
112, DancingScript-Bold, 7, 7, 0.998, PASS
113, DancingScript-Bold, 8, 8, 0.998, PASS
114, DancingScript-Bold, 9, 9, 1.000, PASS
115, DancingScript-Bold, <, <, 0.993, PASS
116, DancingScript-Bold, >, >, 0.912, PASS
117, DancingScript-Bold, ?, ?, 0.969, PASS
118, DancingScript-Bold, @, @, 1.000, PASS
119, DancingScript-Bold, A, A, 1.000, PASS
120, DancingScript-Bold, B, B, 1.000, PASS
121, DancingScript-Bold, C, C, 1.000, PASS
122, DancingScript-Bold, D, D, 1.000, PASS
123, DancingScript-Bold, E, E, 1.000, PASS
124, DancingScript-Bold, F, F, 1.000, PASS
125, DancingScript-Bold, G, G, 1.000, PASS
126, DancingScript-Bold, H, H, 1.000, PASS
127, DancingScript-Bold, I, I, 0.863, PASS
128, DancingScript-Bold, J, J, 1.000, PASS
129, DancingScript-Bold, K, K, 0.979, PASS
130, DancingScript-Bold, L, L, 1.000, PASS
131, DancingScript-Bold, M, M, 1.000, PASS
132, DancingScript-Bold, N, N, 1.000, PASS
133, DancingScript-Bold, O, O, 0.989, PASS
134, DancingScript-Bold, P, P, 0.998, PASS
135, DancingScript-Bold, Q, Q, 1.000, PASS
136, DancingScript-Bold, R, R, 0.999, PASS
137, DancingScript-Bold, S, S, 0.811, PASS
138, DancingScript-Bold, T, T, 1.000, PASS
139, DancingScript-Bold, U, U, 0.922, PASS
140, DancingScript-Bold, V, V, 0.749, PASS
141, DancingScript-Bold, W, W, 1.000, PASS
142, DancingScript-Bold, X, X, 1.000, PASS
143, DancingScript-Bold, Y, Y, 1.000, PASS
144, DancingScript-Bold, Z, Z, 0.997, PASS
145, DancingScript-Bold, a, a, 0.996, PASS
146, DancingScript-Bold, b, b, 0.719, PASS
147, DancingScript-Bold, c, c, 0.991, PASS
148, DancingScript-Medium, d, d, 1.000, PASS
149, DancingScript-Medium, e, e, 0.985, PASS
150, DancingScript-Medium, f, f, 0.730, PASS
151, DancingScript-Medium, g, g, 0.999, PASS
152, DancingScript-Medium, h, h, 0.809, PASS
153, DancingScript-Medium, i, i, 1.000, PASS
154, DancingScript-Medium, j, j, 0.981, PASS
155, DancingScript-Medium, k, k, 0.999, PASS
156, DancingScript-Medium, l, l, 0.994, PASS
157, DancingScript-Medium, m, m, 1.000, PASS
158, DancingScript-Medium, n, n, 1.000, PASS
159, DancingScript-Medium, o, o, 0.973, PASS
160, DancingScript-Medium, p, p, 0.997, PASS
161, DancingScript-Medium, q, q, 1.000, PASS
162, DancingScript-Medium, r, r, 0.990, PASS
163, DancingScript-Medium, s, s, 0.986, PASS
164, DancingScript-Medium, t, t, 0.998, PASS
165, DancingScript-Medium, u, u, 0.993, PASS
166, DancingScript-Medium, v, v, 0.962, PASS
167, DancingScript-Medium, w, w, 1.000, PASS
168, DancingScript-Medium, x, x, 0.955, PASS
169, DancingScript-Medium, y, y, 0.987, PASS
170, DancingScript-Medium, z, z, 0.847, PASS
171, DancingScript-Medium, f, !, 0.549, FAIL
172, DancingScript-Medium, #, #, 0.906, PASS
173, DancingScript-Medium, $, $, 1.000, PASS
174, DancingScript-Medium, %, %, 1.000, PASS
175, DancingScript-Medium, &, &, 1.000, PASS
176, DancingScript-Medium, *, *, 1.000, PASS
177, DancingScript-Medium, +, +, 0.996, PASS
178, DancingScript-Medium, -, -, 0.991, PASS
179, DancingScript-Medium, 0, 0, 0.994, PASS
180, DancingScript-Medium, 1, 1, 0.999, PASS
181, DancingScript-Medium, 2, 2, 1.000, PASS
182, DancingScript-Medium, 3, 3, 0.784, PASS
183, DancingScript-Medium, 4, 4, 0.956, PASS
184, DancingScript-Medium, 5, 5, 0.979, PASS
185, DancingScript-Medium, 6, 6, 0.998, PASS
186, DancingScript-Medium, 7, 7, 0.947, PASS
187, DancingScript-Medium, 8, 8, 0.998, PASS
188, DancingScript-Medium, 9, 9, 1.000, PASS
189, DancingScript-Medium, <, <, 0.996, PASS
190, DancingScript-Medium, >, >, 0.924, PASS
191, DancingScript-Medium, ?, ?, 0.994, PASS
192, DancingScript-Medium, @, @, 1.000, PASS
193, DancingScript-Medium, A, A, 1.000, PASS
194, DancingScript-Medium, B, B, 1.000, PASS
195, DancingScript-Medium, C, C, 1.000, PASS
196, DancingScript-Medium, D, D, 1.000, PASS
197, DancingScript-Medium, E, E, 0.995, PASS
198, DancingScript-Medium, F, F, 1.000, PASS
199, DancingScript-Medium, G, G, 0.991, PASS
200, DancingScript-Medium, H, H, 1.000, PASS
201, DancingScript-Medium, I, I, 0.589, PASS
202, DancingScript-Medium, J, J, 1.000, PASS
203, DancingScript-Medium, K, K, 0.694, PASS
204, DancingScript-Medium, L, L, 0.998, PASS
205, DancingScript-Medium, M, M, 0.996, PASS
206, DancingScript-Medium, N, N, 0.998, PASS
207, DancingScript-Medium, O, O, 0.685, PASS
208, DancingScript-Medium, P, P, 1.000, PASS
209, DancingScript-Medium, Q, Q, 0.613, PASS
210, DancingScript-Medium, R, R, 0.998, PASS
211, DancingScript-Medium, S, S, 0.944, PASS
212, DancingScript-Medium, T, T, 1.000, PASS
213, DancingScript-Medium, U, U, 0.873, PASS
214, DancingScript-Medium, V, V, 1.000, PASS
215, DancingScript-Medium, W, W, 1.000, PASS
216, DancingScript-Medium, X, X, 0.996, PASS
217, DancingScript-Medium, Y, Y, 1.000, PASS
218, DancingScript-Medium, Z, Z, 0.998, PASS
219, DancingScript-Medium, a, a, 0.993, PASS
220, DancingScript-Medium, b, b, 0.931, PASS
221, DancingScript-Medium, c, c, 1.000, PASS
222, DancingScript-Regular, d, d, 1.000, PASS
223, DancingScript-Regular, e, e, 0.989, PASS
224, DancingScript-Regular, f, f, 0.858, PASS
225, DancingScript-Regular, g, g, 0.994, PASS
226, DancingScript-Regular, h, h, 0.898, PASS
227, DancingScript-Regular, i, i, 0.999, PASS
228, DancingScript-Regular, j, j, 0.987, PASS
229, DancingScript-Regular, k, k, 0.998, PASS
230, DancingScript-Regular, l, l, 0.991, PASS
231, DancingScript-Regular, m, m, 1.000, PASS
232, DancingScript-Regular, n, n, 1.000, PASS
233, DancingScript-Regular, o, o, 0.985, PASS
234, DancingScript-Regular, p, p, 0.995, PASS
235, DancingScript-Regular, q, q, 1.000, PASS
236, DancingScript-Regular, r, r, 0.939, PASS
237, DancingScript-Regular, s, s, 0.995, PASS
238, DancingScript-Regular, t, t, 0.998, PASS
239, DancingScript-Regular, u, u, 0.987, PASS
240, DancingScript-Regular, v, v, 0.954, PASS
241, DancingScript-Regular, w, w, 1.000, PASS
242, DancingScript-Regular, x, x, 0.837, PASS
243, DancingScript-Regular, y, y, 0.991, PASS
244, DancingScript-Regular, z, z, 0.568, PASS
245, DancingScript-Regular, ?, !, 0.515, FAIL
246, DancingScript-Regular, #, #, 0.951, PASS
247, DancingScript-Regular, $, $, 1.000, PASS
248, DancingScript-Regular, %, %, 1.000, PASS
249, DancingScript-Regular, &, &, 1.000, PASS
250, DancingScript-Regular, *, *, 0.995, PASS
251, DancingScript-Regular, +, +, 0.983, PASS
252, DancingScript-Regular, -, -, 0.990, PASS
253, DancingScript-Regular, 0, 0, 1.000, PASS
254, DancingScript-Regular, 1, 1, 0.999, PASS
255, DancingScript-Regular, 2, 2, 1.000, PASS
256, DancingScript-Regular, 3, 3, 0.897, PASS
257, DancingScript-Regular, 4, 4, 0.988, PASS
258, DancingScript-Regular, 5, 5, 0.877, PASS
259, DancingScript-Regular, 6, 6, 0.998, PASS
260, DancingScript-Regular, 7, 7, 0.970, PASS
261, DancingScript-Regular, 8, 8, 0.991, PASS
262, DancingScript-Regular, 9, 9, 1.000, PASS
263, DancingScript-Regular, <, <, 0.997, PASS
264, DancingScript-Regular, >, >, 0.996, PASS
265, DancingScript-Regular, ?, ?, 0.998, PASS
266, DancingScript-Regular, @, @, 1.000, PASS
267, DancingScript-Regular, A, A, 1.000, PASS
268, DancingScript-Regular, B, B, 0.974, PASS
269, DancingScript-Regular, C, C, 1.000, PASS
270, DancingScript-Regular, D, D, 1.000, PASS
271, DancingScript-Regular, E, E, 0.983, PASS
272, DancingScript-Regular, F, F, 1.000, PASS
273, DancingScript-Regular, G, G, 0.996, PASS
274, DancingScript-Regular, H, H, 1.000, PASS
275, DancingScript-Regular, I, I, 0.921, PASS
276, DancingScript-Regular, J, J, 1.000, PASS
277, DancingScript-Regular, K, K, 0.900, PASS
278, DancingScript-Regular, L, L, 0.984, PASS
279, DancingScript-Regular, M, M, 0.987, PASS
280, DancingScript-Regular, N, N, 0.999, PASS
281, DancingScript-Regular, O, O, 0.985, PASS
282, DancingScript-Regular, P, P, 0.978, PASS
283, DancingScript-Regular, Q, Q, 0.997, PASS
284, DancingScript-Regular, R, R, 0.998, PASS
285, DancingScript-Regular, S, S, 0.857, PASS
286, DancingScript-Regular, T, T, 1.000, PASS
287, DancingScript-Regular, U, U, 0.821, PASS
288, DancingScript-Regular, V, V, 0.999, PASS
289, DancingScript-Regular, W, W, 0.999, PASS
290, DancingScript-Regular, X, X, 0.998, PASS
291, DancingScript-Regular, Y, Y, 0.999, PASS
292, DancingScript-Regular, Z, Z, 0.990, PASS
293, DancingScript-Regular, a, a, 0.903, PASS
294, DancingScript-Regular, b, b, 0.951, PASS
295, DancingScript-Regular, c, c, 1.000, PASS
296, DancingScript-SemiBold, d, d, 1.000, PASS
297, DancingScript-SemiBold, e, e, 0.987, PASS
298, DancingScript-SemiBold, l, f, 0.530, FAIL
299, DancingScript-SemiBold, g, g, 0.998, PASS
300, DancingScript-SemiBold, h, h, 0.837, PASS
301, DancingScript-SemiBold, i, i, 1.000, PASS
302, DancingScript-SemiBold, j, j, 0.955, PASS
303, DancingScript-SemiBold, k, k, 0.999, PASS
304, DancingScript-SemiBold, l, l, 0.996, PASS
305, DancingScript-SemiBold, m, m, 1.000, PASS
306, DancingScript-SemiBold, n, n, 1.000, PASS
307, DancingScript-SemiBold, o, o, 0.993, PASS
308, DancingScript-SemiBold, p, p, 0.997, PASS
309, DancingScript-SemiBold, q, q, 1.000, PASS
310, DancingScript-SemiBold, r, r, 0.981, PASS
311, DancingScript-SemiBold, s, s, 0.968, PASS
312, DancingScript-SemiBold, t, t, 0.998, PASS
313, DancingScript-SemiBold, u, u, 0.997, PASS
314, DancingScript-SemiBold, v, v, 0.969, PASS
315, DancingScript-SemiBold, w, w, 1.000, PASS
316, DancingScript-SemiBold, x, x, 0.997, PASS
317, DancingScript-SemiBold, y, y, 0.953, PASS
318, DancingScript-SemiBold, z, z, 0.850, PASS
319, DancingScript-SemiBold, !, !, 0.898, PASS
320, DancingScript-SemiBold, #, #, 0.871, PASS
321, DancingScript-SemiBold, $, $, 1.000, PASS
322, DancingScript-SemiBold, %, %, 1.000, PASS
323, DancingScript-SemiBold, &, &, 1.000, PASS
324, DancingScript-SemiBold, *, *, 1.000, PASS
325, DancingScript-SemiBold, +, +, 0.999, PASS
326, DancingScript-SemiBold, -, -, 0.995, PASS
327, DancingScript-SemiBold, 0, 0, 0.998, PASS
328, DancingScript-SemiBold, 1, 1, 0.998, PASS
329, DancingScript-SemiBold, 2, 2, 1.000, PASS
330, DancingScript-SemiBold, 3, 3, 0.976, PASS
331, DancingScript-SemiBold, 4, 4, 0.995, PASS
332, DancingScript-SemiBold, 5, 5, 0.995, PASS
333, DancingScript-SemiBold, 6, 6, 1.000, PASS
334, DancingScript-SemiBold, 7, 7, 0.995, PASS
335, DancingScript-SemiBold, 8, 8, 0.998, PASS
336, DancingScript-SemiBold, 9, 9, 1.000, PASS
337, DancingScript-SemiBold, <, <, 0.970, PASS
338, DancingScript-SemiBold, >, >, 0.920, PASS
339, DancingScript-SemiBold, ?, ?, 0.971, PASS
340, DancingScript-SemiBold, @, @, 1.000, PASS
341, DancingScript-SemiBold, A, A, 1.000, PASS
342, DancingScript-SemiBold, B, B, 1.000, PASS
343, DancingScript-SemiBold, C, C, 0.991, PASS
344, DancingScript-SemiBold, D, D, 1.000, PASS
345, DancingScript-SemiBold, E, E, 0.988, PASS
346, DancingScript-SemiBold, F, F, 1.000, PASS
347, DancingScript-SemiBold, G, G, 0.975, PASS
348, DancingScript-SemiBold, H, H, 1.000, PASS
349, DancingScript-SemiBold, I, I, 0.981, PASS
350, DancingScript-SemiBold, J, J, 1.000, PASS
351, DancingScript-SemiBold, K, K, 0.902, PASS
352, DancingScript-SemiBold, L, L, 0.998, PASS
353, DancingScript-SemiBold, M, M, 0.999, PASS
354, DancingScript-SemiBold, N, N, 1.000, PASS
355, DancingScript-SemiBold, O, O, 0.998, PASS
356, DancingScript-SemiBold, P, P, 0.998, PASS
357, DancingScript-SemiBold, Q, Q, 0.998, PASS
358, DancingScript-SemiBold, R, R, 1.000, PASS
359, DancingScript-SemiBold, S, S, 0.834, PASS
360, DancingScript-SemiBold, T, T, 1.000, PASS
361, DancingScript-SemiBold, U, U, 0.989, PASS
362, DancingScript-SemiBold, V, V, 0.999, PASS
363, DancingScript-SemiBold, W, W, 1.000, PASS
364, DancingScript-SemiBold, X, X, 0.999, PASS
365, DancingScript-SemiBold, Y, Y, 1.000, PASS
366, DancingScript-SemiBold, Z, Z, 0.998, PASS
367, DancingScript-SemiBold, a, a, 0.997, PASS
368, DancingScript-SemiBold, b, b, 0.911, PASS
369, DancingScript-SemiBold, c, c, 0.998, PASS
370, EBGaramond-Bold, d, d, 1.000, PASS
371, EBGaramond-Bold, e, e, 0.996, PASS
372, EBGaramond-Bold, f, f, 1.000, PASS
373, EBGaramond-Bold, g, g, 1.000, PASS
374, EBGaramond-Bold, h, h, 0.998, PASS
375, EBGaramond-Bold, i, i, 0.997, PASS
376, EBGaramond-Bold, j, j, 0.996, PASS
377, EBGaramond-Bold, k, k, 1.000, PASS
378, EBGaramond-Bold, l, l, 0.811, PASS
379, EBGaramond-Bold, m, m, 1.000, PASS
380, EBGaramond-Bold, n, n, 1.000, PASS
381, EBGaramond-Bold, o, o, 0.998, PASS
382, EBGaramond-Bold, p, p, 0.890, PASS
383, EBGaramond-Bold, q, q, 0.999, PASS
384, EBGaramond-Bold, r, r, 0.967, PASS
385, EBGaramond-Bold, s, s, 0.999, PASS
386, EBGaramond-Bold, t, t, 0.999, PASS
387, EBGaramond-Bold, u, u, 0.998, PASS
388, EBGaramond-Bold, v, v, 0.987, PASS
389, EBGaramond-Bold, w, w, 1.000, PASS
390, EBGaramond-Bold, x, x, 1.000, PASS
391, EBGaramond-Bold, y, y, 0.912, PASS
392, EBGaramond-Bold, z, z, 0.991, PASS
393, EBGaramond-Bold, !, !, 1.000, PASS
394, EBGaramond-Bold, #, #, 0.969, PASS
395, EBGaramond-Bold, $, $, 0.998, PASS
396, EBGaramond-Bold, %, %, 1.000, PASS
397, EBGaramond-Bold, &, &, 0.993, PASS
398, EBGaramond-Bold, *, *, 1.000, PASS
399, EBGaramond-Bold, +, +, 0.969, PASS
400, EBGaramond-Bold, -, -, 1.000, PASS
401, EBGaramond-Bold, 0, 0, 1.000, PASS
402, EBGaramond-Bold, 1, 1, 0.914, PASS
403, EBGaramond-Bold, 2, 2, 1.000, PASS
404, EBGaramond-Bold, 3, 3, 1.000, PASS
405, EBGaramond-Bold, 4, 4, 1.000, PASS
406, EBGaramond-Bold, 5, 5, 1.000, PASS
407, EBGaramond-Bold, 6, 6, 1.000, PASS
408, EBGaramond-Bold, 7, 7, 1.000, PASS
409, EBGaramond-Bold, 8, 8, 1.000, PASS
410, EBGaramond-Bold, 9, 9, 1.000, PASS
411, EBGaramond-Bold, <, <, 1.000, PASS
412, EBGaramond-Bold, >, >, 1.000, PASS
413, EBGaramond-Bold, ?, ?, 0.951, PASS
414, EBGaramond-Bold, @, @, 0.999, PASS
415, EBGaramond-Bold, A, A, 1.000, PASS
416, EBGaramond-Bold, B, B, 1.000, PASS
417, EBGaramond-Bold, C, C, 0.996, PASS
418, EBGaramond-Bold, D, D, 1.000, PASS
419, EBGaramond-Bold, E, E, 1.000, PASS
420, EBGaramond-Bold, F, F, 1.000, PASS
421, EBGaramond-Bold, G, G, 1.000, PASS
422, EBGaramond-Bold, H, H, 1.000, PASS
423, EBGaramond-Bold, I, I, 0.987, PASS
424, EBGaramond-Bold, J, J, 1.000, PASS
425, EBGaramond-Bold, K, K, 1.000, PASS
426, EBGaramond-Bold, L, L, 1.000, PASS
427, EBGaramond-Bold, M, M, 1.000, PASS
428, EBGaramond-Bold, N, N, 1.000, PASS
429, EBGaramond-Bold, O, O, 1.000, PASS
430, EBGaramond-Bold, P, P, 0.728, PASS
431, EBGaramond-Bold, Q, Q, 1.000, PASS
432, EBGaramond-Bold, R, R, 0.996, PASS
433, EBGaramond-Bold, S, S, 0.902, PASS
434, EBGaramond-Bold, T, T, 1.000, PASS
435, EBGaramond-Bold, U, U, 1.000, PASS
436, EBGaramond-Bold, V, V, 0.816, PASS
437, EBGaramond-Bold, W, W, 1.000, PASS
438, EBGaramond-Bold, X, X, 0.871, PASS
439, EBGaramond-Bold, Y, Y, 1.000, PASS
440, EBGaramond-Bold, Z, Z, 1.000, PASS
441, EBGaramond-Bold, a, a, 1.000, PASS
442, EBGaramond-Bold, b, b, 0.886, PASS
443, EBGaramond-Bold, c, c, 1.000, PASS
444, EBGaramond-Italic, d, d, 1.000, PASS
445, EBGaramond-Italic, e, e, 0.998, PASS
446, EBGaramond-Italic, !, f, 0.747, FAIL
447, EBGaramond-Italic, g, g, 0.908, PASS
448, EBGaramond-Italic, h, h, 0.965, PASS
449, EBGaramond-Italic, i, i, 1.000, PASS
450, EBGaramond-Italic, j, j, 1.000, PASS
451, EBGaramond-Italic, k, k, 1.000, PASS
452, EBGaramond-Italic, l, l, 0.849, PASS
453, EBGaramond-Italic, m, m, 1.000, PASS
454, EBGaramond-Italic, n, n, 0.970, PASS
455, EBGaramond-Italic, a, o, 0.363, FAIL
456, EBGaramond-Italic, p, p, 0.998, PASS
457, EBGaramond-Italic, q, q, 1.000, PASS
458, EBGaramond-Italic, r, r, 1.000, PASS
459, EBGaramond-Italic, s, s, 0.994, PASS
460, EBGaramond-Italic, t, t, 0.987, PASS
461, EBGaramond-Italic, u, u, 1.000, PASS
462, EBGaramond-Italic, v, v, 0.979, PASS
463, EBGaramond-Italic, w, w, 1.000, PASS
464, EBGaramond-Italic, x, x, 1.000, PASS
465, EBGaramond-Italic, y, y, 0.698, PASS
466, EBGaramond-Italic, z, z, 0.911, PASS
467, EBGaramond-Italic, !, !, 1.000, PASS
468, EBGaramond-Italic, #, #, 1.000, PASS
469, EBGaramond-Italic, $, $, 0.996, PASS
470, EBGaramond-Italic, %, %, 0.881, PASS
471, EBGaramond-Italic, &, &, 0.999, PASS
472, EBGaramond-Italic, *, *, 0.998, PASS
473, EBGaramond-Italic, +, +, 1.000, PASS
474, EBGaramond-Italic, -, -, 0.994, PASS
475, EBGaramond-Italic, 0, 0, 0.996, PASS
476, EBGaramond-Italic, 1, 1, 0.724, PASS
477, EBGaramond-Italic, 2, 2, 0.961, PASS
478, EBGaramond-Italic, 3, 3, 1.000, PASS
479, EBGaramond-Italic, 4, 4, 1.000, PASS
480, EBGaramond-Italic, 5, 5, 1.000, PASS
481, EBGaramond-Italic, 6, 6, 0.721, PASS
482, EBGaramond-Italic, 7, 7, 0.585, PASS
483, EBGaramond-Italic, 8, 8, 0.992, PASS
484, EBGaramond-Italic, 9, 9, 1.000, PASS
485, EBGaramond-Italic, <, <, 1.000, PASS
486, EBGaramond-Italic, >, >, 1.000, PASS
487, EBGaramond-Italic, ?, ?, 1.000, PASS
488, EBGaramond-Italic, @, @, 0.998, PASS
489, EBGaramond-Italic, A, A, 0.992, PASS
490, EBGaramond-Italic, B, B, 0.942, PASS
491, EBGaramond-Italic, C, C, 1.000, PASS
492, EBGaramond-Italic, D, D, 1.000, PASS
493, EBGaramond-Italic, E, E, 0.999, PASS
494, EBGaramond-Italic, F, F, 0.999, PASS
495, EBGaramond-Italic, G, G, 0.999, PASS
496, EBGaramond-Italic, H, H, 1.000, PASS
497, EBGaramond-Italic, I, I, 0.988, PASS
498, EBGaramond-Italic, J, J, 1.000, PASS
499, EBGaramond-Italic, K, K, 1.000, PASS
500, EBGaramond-Italic, L, L, 1.000, PASS
501, EBGaramond-Italic, M, M, 1.000, PASS
502, EBGaramond-Italic, N, N, 1.000, PASS
503, EBGaramond-Italic, O, O, 1.000, PASS
504, EBGaramond-Italic, P, P, 1.000, PASS
505, EBGaramond-Italic, Q, Q, 1.000, PASS
506, EBGaramond-Italic, R, R, 0.989, PASS
507, EBGaramond-Italic, S, S, 0.804, PASS
508, EBGaramond-Italic, T, T, 1.000, PASS
509, EBGaramond-Italic, U, U, 0.978, PASS
510, EBGaramond-Italic, V, V, 0.999, PASS
511, EBGaramond-Italic, W, W, 1.000, PASS
512, EBGaramond-Italic, X, X, 1.000, PASS
513, EBGaramond-Italic, Y, Y, 0.840, PASS
514, EBGaramond-Italic, Z, Z, 1.000, PASS
515, EBGaramond-Italic, a, a, 1.000, PASS
516, EBGaramond-Italic, b, b, 0.930, PASS
517, EBGaramond-Italic, c, c, 0.975, PASS
518, EBGaramond-Medium, d, d, 1.000, PASS
519, EBGaramond-Medium, e, e, 0.982, PASS
520, EBGaramond-Medium, f, f, 1.000, PASS
521, EBGaramond-Medium, g, g, 1.000, PASS
522, EBGaramond-Medium, h, h, 0.996, PASS
523, EBGaramond-Medium, i, i, 1.000, PASS
524, EBGaramond-Medium, j, j, 0.794, PASS
525, EBGaramond-Medium, k, k, 1.000, PASS
526, EBGaramond-Medium, 1, l, 0.350, FAIL
527, EBGaramond-Medium, m, m, 1.000, PASS
528, EBGaramond-Medium, n, n, 1.000, PASS
529, EBGaramond-Medium, o, o, 1.000, PASS
530, EBGaramond-Medium, p, p, 0.938, PASS
531, EBGaramond-Medium, q, q, 0.998, PASS
532, EBGaramond-Medium, r, r, 1.000, PASS
533, EBGaramond-Medium, s, s, 1.000, PASS
534, EBGaramond-Medium, t, t, 0.908, PASS
535, EBGaramond-Medium, u, u, 1.000, PASS
536, EBGaramond-Medium, v, v, 0.996, PASS
537, EBGaramond-Medium, w, w, 1.000, PASS
538, EBGaramond-Medium, x, x, 1.000, PASS
